"REGION","RNAME","SNAME","KEY","LENGTH","UPNGR","DOWNNGR","CHEMNGR","N_GQA_90","N_GQA_95","N_GQA_00","N_GQA_01","N_GQA_02","N_GQA_03","N_GQA_04","N_GQA_05","N_GQA_06","N_GQA_07","N_GQA_08","N_GQA_09"
"Midlands","SENCE R","RD_BR_GAULBY_TO_CONF_BURTON_BK","028010087008",8.5,"SK693  029","SP653  974","SP6550698006","4","4","5","5","4","4","4","4","4","4","3","3"
"Midlands","SENCE R","BURTON_BK_TO_WAIN_BR_N_HARCOURT","028010087012",4.5,"SP653  974","SP635  965","SP6350096500","5","5","6","6","5","5","5","5","5","5","4","4"
"Midlands","SENCE R","WAIN_BR_NEWTON_HARCOURT_TO_WIGSTON_STW","028010087016",8,"SP635  965","SP594  971","SP6103996795",,"5","6","6","5","5","5","5","5","5","4","4"
"Midlands","SENCE R","WIGSTON_STW_OUTFALL_TO_FORD_AT_BLABY","028010087022",3,"SP594  971","SP575  981","SP5884897674","6","6","6","6","6","6","6","6","6","6","6","5"
"Midlands","SENCE R","FORD_AT_BLABY_TO_CONF_R_SOAR","028010087024",2.5,"SP575  981","SP552  985","SP5517498476","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","COUNTESTHORPE BK","ARNESBY_STW_TO_CONF_PEATLING_PARVA","028010087304",1.5,"SP607  916","SP601  925","SP5940095810",,"4","5","5","4","4","5","4","4","3","3","3"
"Midlands","COUNTESTHORPE BK","PEATLING_PARVA_TO_COUNTESTHORPE_STW","028010087308",5,"SP601  925","SP593  967","SP5940095810","4","4","4","4","4","4","4","4","4","3","3","3"
"Midlands","COUNTESTHORPE BK","COUNTESTHORPE_STW_TO_CONF_R_SENCE","028010087312",0.5,"SP593  967","SP594  971","SP5940097100","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","FLECKNEY BK","FLECKNEY_STW_OUTFALL_TO_CONF_R_SENCE","028010087504",1.5,"SP658  947","SP652  956","SP6593294934","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","BURTON BK","GAULBY_STW_OUTFALL_TO_GREAT_GLEN","028010087704",4.6,"SK698  006","SP664  975","SP6751098100","4","3","5","5","5","4","4","4","4","3","3","3"
"Midlands","BURTON BK","GREAT_GLEN_TO_CONF_R_SENCE","028010087708",0.8,"SP664  975","SP653  974","SP6559697417","6","5","6","6","6","6","6","6","6","6","5","6"
"Midlands","WHETSTONE BK","NARBOROUGH_STW_TO_CONF_R_SOAR","028010087804",0.5,"SP551  972","SP548  973","SP5566497143","5","4","5","4","5","4","4","4","5","5","4","4"
"Midlands","ENDERBY BK","ENDERBY_STW_TO_CONF_R_SOAR","028010087904",1.5,"SP525  985","SP527  972","SP5260097270",,"4","6","6","5","4","5","5","5","4","4","3"
"Midlands","THURLASTON BK","CONF_NORMANTON_BK_TO_CONF_R_SOAR","028010088004",4,"SP495  970","SP522  963","SP5150097280","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","NORMANTON BK","NEWBOLD_VERDON_STW_TO_NORMANTON_PK_BR","028010088204",12,"SK440  030","SP491  988","SK4346000890","6","6","6","6","6","6","6","6","6","6","6","6"
"Midlands","NORMANTON BK","NORMANTON_PK_BR_TO_THURLASTON_BK","028010088208",2,"SP491  988","SP495  970","SP4949897709",,"6","6","6","6","6",,"5","5","5","5","5"
"Midlands","EARL SHILTON BK","EARL_SHILTON_STW_TO_THURLASTON_BK","028010088404",1.6,"SP475  973","SP489  966","SP4890096600",,"6","6","6","6","6","6","6","6","6","6","6"
"Midlands","BROUGHTON ASTLEY BK","BROUGHTON_ASTLEY_STW_TO_CONF_R_SOAR","028010088604",2.3,"SP524  948","SP520  962","SP5180995478","5","6","6","6","6","5","6","6","6","6","5","5"
"Midlands","DERWENT R","FB_ABOVE_HOWDEN_RES_TO_YORKSHIRE_BR","028010089004",11,"SK169  951","SK198  849","SK1981384969","1","1","1","1","1","1","1","1","1","1","1","1"
"Midlands","DERWENT R","YORKSHIRE_BRIDGE_TO_HATHERSAGE_BR","028010089008",7,"SK198  849","SK233  806","SK2335380614","2","2","2","2","2","2","2","2","2","2","2","2"
"Midlands","DERWENT R","HATHERSAGE_BR_TO_GRINDLEFORD_BR","028010089012",3,"SK233  806","SK245  778","SK2448677802",,"2","2","2","2","2","2","2","2","2","2","2"
"Midlands","DERWENT R","GRINDLEFORD_BR_TO_CONF_WITH_R_WYE","028010089016",14.5,"SK245  778","SK260  655","SK2509972372","2","2","2","2","2","2","2","2","2","2","2","2"
