"REGION","RNAME","SNAME","KEY","LENGTH","UPNGR","DOWNNGR","CHEMNGR","P_GQA_90","P_GQA_95","P_GQA_00","P_GQA_01","P_GQA_02","P_GQA_03","P_GQA_04","P_GQA_05","P_GQA_06","P_GQA_07","P_GQA_08","P_GQA_09"
"Midlands","SEVERN R","CWM_RICKET_FORD_TO_CONF_A_CLYWEDOG","054010001004",11.5,"SN8619 8670","SN9541 8477","SN9440083901","1","2","1","1","2","2","2","2","2","1","1","1"
"Midlands","SEVERN R","CONF_A_CLYWEDOG_TO_CONF_A_CERIST","054010001008",14.5,"SN9541 8477","SO0250 9149","SN9970085200","2","2","2","2","2","2","2","2","2","1","1","1"
"Midlands","SEVERN R","CONF_A_CERIST_TO_CONF_MOCHDRE_BK","054010001012",12.3,"SO0250 9149","SO0865 9080","SO0320091700","2","2","2","2","2","2","3","2","2","2","2","2"
"Midlands","SEVERN R","CONF_MOCHDRE_BK_TO_NEWTOWN_STW","054010001016",7.4,"SO0865 9080","SO1397 9275","SO1052091640","2","2","2","2","2","2","2","2","2","1","1","1"
"Midlands","SEVERN R","NEWTOWN_STW_TO_CONF_THE_MULE","054010001022",3.5,"SO1397 9275","SO1594 9480","SO1436893368","3","3","3","3","3","3","3","3","2","2","2","2"
"Midlands","SEVERN R","CONF_THE_MULE_TO_WELSHPOOL_STW","054010001024",20.3,"SO1594 9480","SJ2352 0726","SO1967098150",,"5","3","3","3","3","3","3","2","2","2","2"
"Midlands","SEVERN R","WELSHPOOL_STW_TO_CONF_A_VYRNWY","054010001028",25,"SJ2352 0726","SJ3280 1586","SJ2984316977","3","3","3","3","3","3","3","3","3","3","3","3"
"Midlands","SEVERN R","CONF_A_VYRNWY_TO_CONF_R_PERRY","054010001032",18.5,"SJ3280 1586","SJ4402 1863","SJ4320015300",,"3","3","3","3","3","3","3","3","2","2","2"
"Midlands","TEME R","FORD_BELOW_BEGUILDY_TO_KNIGHTON_STW","054010235004",15.3,"SO196  798","SO290  724","SO2900072300",,"2","2","2","2","2","2","2","2","1","1","1"
"Midlands","TEME R","KNIGHTON_STW_TO_A4113_BR_LEINTWARDINE","054010235008",12.5,"SO290  724","SO404  738","SO4042773825",,"3","2","2","2","4","4","4","2","2","2","2"
"Midlands","ONNY R","THE_MARSH_TO_QUINNY_BK","054010295004",23.5,"SO315  980","SO435  845","SO4322084662","3","2","3","3","3","3","3","3","2","2","2","1"
"Midlands","VYRNWY A","LAKE_VYRNWY_DAM_SPILL_TO_CONF_COWNWY","054010463004",4.5,"SJ0190 1925","SJ0210 1709","SJ0204619018",,,"1","1","1","2","2","2","2","1","1","1"
"Midlands","VYRNWY A","CONF_COWNWY_TO_CONF_BANWY","054010463008",18.9,"SJ0210 1709","SJ1430 1140","SJ0684612788",,"2","2","2","2","2","2","2","2","2","2","2"
"Midlands","VYRNWY A","CONF_BANWY_TO_CONF_TANAT","054010463012",20.3,"SJ1430 1140","SJ2433 2065","SJ2026017850",,"2","3","3","3","2","2","2","2","2","1","2"
"Midlands","VYRNWY A","CONF_TANAT_TO_CONF_RSEVERN","054010463016",21.9,"SJ2433 2065","SJ3281 1586","SJ2530019600",,"2","2","2","2","2","2","2","2","2","2","2"
